Species,Longitude,Latitude
Spea_hammondii_S,-116.6675568,33.24296951
Spea_hammondii_S,-117.2425003,33.25389862
Spea_hammondii_S,-116.6658565,33.2594046
Spea_hammondii_S,-116.9542923,33.26197052
Spea_hammondii_S,-117.393252,33.265419
Spea_hammondii_S,-117.1753616,33.27198792
Spea_hammondii_S,-117.174754,33.2719942
Spea_hammondii_S,-116.637737,33.278201
Spea_hammondii_S,-116.632782,33.28221893
Spea_hammondii_S,-117.411,33.284
Spea_hammondii_S,-116.6295013,33.28409958
Spea_hammondii_S,-117.363324,33.28716818
Spea_hammondii_S,-116.6859,33.28988333
Spea_hammondii_S,-117.4564514,33.30211258
Spea_hammondii_S,-117.27179,33.32885
Spea_hammondii_S,-117.0764632,33.36513236
Spea_hammondii_S,-117.0327056,33.36529435
Spea_hammondii_S,-117.0327072,33.36529541
Spea_hammondii_S,-117.0321,33.3653
Spea_hammondii_S,-117.0329618,33.36533269
Spea_hammondii_S,-117.0579987,33.36819839
Spea_hammondii_S,-117.058,33.3682
Spea_hammondii_S,-117.34905,33.37083
Spea_hammondii_S,-116.6208333,33.375
Spea_hammondii_S,-116.62083,33.375
Spea_hammondii_S,-116.6208267,33.375
Spea_hammondii_S,-116.78028,33.38333
Spea_hammondii_S,-116.7802811,33.3833313
Spea_hammondii_S,-116.7802778,33.38333333
Spea_hammondii_S,-117.55875,33.42387
Spea_hammondii_S,-117.5587463,33.42387009
Spea_hammondii_S,-117.5682907,33.43593979
Spea_hammondii_S,-117.56829,33.43594
Spea_hammondii_S,-117.541,33.4364
Spea_hammondii_S,-117.41356,33.442847
Spea_hammondii_S,-117.1697922,33.44395828
Spea_hammondii_S,-117.16979,33.44396
Spea_hammondii_S,-117.6964188,33.46755981
Spea_hammondii_S,-117.69642,33.46756
Spea_hammondii_S,-117.7127686,33.47000885
Spea_hammondii_S,-117.71277,33.47001
Spea_hammondii_S,-116.912,33.4926
Spea_hammondii_S,-117.1349869,33.50426865
Spea_hammondii_S,-117.13499,33.50427
Spea_hammondii_S,-117.11768,33.50427
Spea_hammondii_S,-117.69811,33.51033
Spea_hammondii_S,-117.6981125,33.5103302
Spea_hammondii_S,-116.923,33.5296
Spea_hammondii_S,-117.2686666,33.53116667
Spea_hammondii_S,-117.2686691,33.53116989
Spea_hammondii_S,-117.26867,33.53117
Spea_hammondii_S,-117.622406,33.553285
Spea_hammondii_S,-117.78134,33.55817
Spea_hammondii_S,-117.78134,33.558171
Spea_hammondii_S,-117.807412,33.563498
Spea_hammondii_S,-117.769774,33.568042
Spea_hammondii_S,-117.76975,33.56807
Spea_hammondii_S,-117.8001833,33.5693
Spea_hammondii_S,-117.80018,33.5693
Spea_hammondii_S,-117.8001785,33.56930161
Spea_hammondii_S,-117.800118,33.56952
Spea_hammondii_S,-117.80795,33.57463
Spea_hammondii_S,-117.80795,33.57463056
Spea_hammondii_S,-117.8079529,33.57463074
Spea_hammondii_S,-117.600762,33.575703
Spea_hammondii_S,-117.794304,33.576053
Spea_hammondii_S,-117.79436,33.57607
Spea_hammondii_S,-117.8103333,33.57791901
Spea_hammondii_S,-117.8103306,33.57791944
Spea_hammondii_S,-117.81033,33.57792
Spea_hammondii_S,-117.759902,33.583093
Spea_hammondii_S,-117.7599021,33.58309306
Spea_hammondii_S,-117.78382,33.595
Spea_hammondii_S,-117.7838167,33.595
Spea_hammondii_S,-117.7837833,33.595
Spea_hammondii_S,-117.78378,33.595
Spea_hammondii_S,-117.7838211,33.59500122
Spea_hammondii_S,-117.783783,33.59500122
Spea_hammondii_S,-117.7844086,33.59542847
Spea_hammondii_S,-117.78441,33.59543
Spea_hammondii_S,-117.7909012,33.59909821
Spea_hammondii_S,-117.7909,33.5991
Spea_hammondii_S,-117.559973,33.603068
Spea_hammondii_S,-117.5597,33.60311
Spea_hammondii_S,-117.5597,33.60311127
Spea_hammondii_S,-117.7239304,33.61085892
Spea_hammondii_S,-117.72393,33.61086
Spea_hammondii_S,-117.70602,33.61605
Spea_hammondii_S,-117.7060165,33.61605072
Spea_hammondii_S,-117.70316,33.61835
Spea_hammondii_S,-117.7031631,33.61835098
Spea_hammondii_S,-117.6989899,33.62142944
Spea_hammondii_S,-117.69899,33.62143
Spea_hammondii_S,-117.01804,33.62271
Spea_hammondii_S,-117.0180435,33.62271118
Spea_hammondii_S,-117.6955185,33.62503815
Spea_hammondii_S,-117.6952209,33.62503815
